num_location,num_type_of_university,length_of_college_in_years,num_specified_type,on_campus,residence_halls,noncampus_property,public_property
2,1,4,2,1,0,0,0
2,1,4,3,0,0,0,0
2,1,4,4,0,0,0,0
2,1,4,5,0,0,0,0
2,1,4,6,0,0,0,0
2,1,4,7,0,0,0,0
2,1,4,8,0,0,0,0
2,1,4,9,0,0,0,0
2,1,4,10,0,0,0,0
2,1,4,11,0,0,0,0
2,1,4,12,0,0,0,0
2,1,4,13,0,0,0,0
2,1,4,14,0,0,0,0
2,1,4,15,0,0,0,0
2,1,4,16,0,0,0,0
2,1,4,17,0,0,0,0
2,1,4,18,2,0,0,0
2,1,4,19,0,0,0,0
2,1,4,20,0,0,0,0
2,0,4,0,0,0,0,1
2,0,4,1,0,0,0,0
2,0,4,2,0,0,0,0
2,0,4,3,0,0,0,0
2,0,4,4,0,0,0,0
2,0,4,5,0,0,0,0
2,0,4,6,0,0,0,1
2,0,4,7,0,0,0,0
2,0,4,8,0,0,0,2
2,0,4,9,0,0,0,0
2,0,4,10,0,0,0,0
2,0,4,11,0,0,0,0
2,0,4,12,0,0,0,0
2,0,4,13,0,0,0,0
2,0,4,14,0,0,0,0
2,0,4,15,0,0,0,0
2,0,4,16,0,0,0,0
2,0,4,17,0,0,0,0
2,0,4,18,36,36,0,0
2,0,4,19,32,30,0,0
2,0,4,20,0,0,0,0
2,0,4,0,0,0,0,0
2,0,4,1,0,0,0,0
2,0,4,2,0,0,0,0
2,0,4,3,0,0,0,0
2,0,4,4,0,0,0,0
2,0,4,5,0,0,0,0
2,0,4,6,1,1,0,0
2,0,4,7,1,1,0,0
2,0,4,8,0,0,0,0
2,0,4,9,0,0,0,0
2,0,4,10,0,0,0,0
2,0,4,11,0,0,0,0
